Iteration;Best Fitness;Average Fitness;Worst Fitness
22;96287;77352;60095
23;96287;73002;60095
24;96287;90616;60095
25;96287;76649;60095
26;96287;88456;60095
27;96287;77604;60095
28;96287;79512;60095
29;96287;81103;60095
30;96287;90940;60095
31;96287;81111;60095
32;97970;97970;60095
33;97970;95639;60095
34;97970;73331;60095
35;97970;90549;60095
36;97970;75686;60095
37;97970;67193;60095
38;97970;89798;60095
39;97970;86059;60095
40;97970;90818;60095
41;97970;84566;60095
42;98929;98929;60095
43;98929;65399;60095
44;98929;72893;60095
45;98929;74370;60095
46;98929;78755;60095
47;98929;72415;60095
48;98929;93990;60095
49;98929;81114;60095
50;98929;71687;60095
51;98929;78830;60095
52;98929;86626;60095
53;98929;68129;60095
54;98929;94013;60095
55;98929;89921;60095
56;98929;58682;58682
57;98929;85754;58682
58;98929;73266;58682
59;98929;84172;58682
60;98929;89875;58682
61;98929;82982;58682
62;98929;98331;58682
63;98929;88645;58682
64;98929;81974;58682
65;98929;81391;58682
66;98929;74352;58682
67;104554;104554;58682
68;104554;78047;58682
69;104554;88927;58682
70;104554;75065;58682
71;104554;82894;58682
72;104554;83442;58682
73;104554;79510;58682
74;104554;83666;58682
75;104554;83943;58682
76;104554;82702;58682
77;104554;74342;58682
78;104554;79958;58682
79;104554;85732;58682
80;104554;83881;58682
81;104554;76578;58682
82;104554;86834;58682
83;104554;96266;58682
84;104554;70448;58682
85;104554;91286;58682
86;104554;91286;58682
87;104554;82746;58682
88;104554;81950;58682
89;104554;87515;58682
90;104554;82870;58682
91;104554;80708;58682
92;104554;99545;58682
93;104554;94515;58682
94;104554;76877;58682
95;104554;82894;58682
96;104554;76563;58682
97;104554;67102;58682
98;104554;80982;58682
99;104554;78635;58682
100;104554;82177;58682
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;87625;87625;87625
2;87625;82932;82932
3;87625;73980;73980
4;88025;88025;73980
5;88025;86111;73980
6;88025;78535;73980
7;88025;72800;72800
8;95891;95891;72800
9;95891;91494;72800
10;95891;83848;72800
11;95891;68553;68553
12;95891;82664;68553
13;95891;74526;68553
14;97895;97895;68553
15;97895;73613;68553
16;97895;72844;68553
17;97895;82321;68553
18;97895;62057;62057
19;97895;72814;62057
20;97895;78905;62057
21;97895;90297;62057
22;97895;92030;62057
23;97895;78588;62057
24;97895;81202;62057
25;97895;74422;62057
26;97895;85964;62057
27;97895;87195;62057
28;97895;78954;62057
29;97895;71700;62057
30;97895;76493;62057
31;97895;75934;62057
32;97895;64950;62057
33;97895;77146;62057
34;97895;89006;62057
35;97895;82614;62057
36;97895;86907;62057
37;97895;75328;62057
38;97895;93359;62057
39;97895;89830;62057
40;98635;98635;62057
41;98635;82393;62057
42;98635;84827;62057
43;98635;77618;62057
44;98635;87646;62057
45;98635;84561;62057
46;98635;68522;62057
47;98635;82130;62057
48;98635;95451;62057
49;98635;88996;62057
50;98635;66014;62057
51;98635;74309;62057
52;98635;84593;62057
53;98635;79283;62057
54;98635;75985;62057
55;98635;77542;62057
56;98635;87235;62057
57;98635;79972;62057
58;98635;72072;62057
59;98635;87890;62057
60;98635;82080;62057
61;98635;87515;62057
62;98635;92559;62057
63;98635;85727;62057
64;98635;74596;62057
65;98635;91213;62057
66;98635;80096;62057
67;98635;71455;62057
68;98635;88626;62057
69;98635;92600;62057
70;98635;92287;62057
71;98635;73226;62057
72;98635;74260;62057
73;98635;84509;62057
74;98635;83683;62057
75;98635;82319;62057
76;98635;67641;62057
77;98635;86564;62057
78;98635;64707;62057
79;98635;79882;62057
80;98635;65143;62057
81;98635;91220;62057
82;98635;89299;62057
83;98635;86855;62057
84;98635;79573;62057
85;98635;76873;62057
86;98635;89703;62057
87;98635;82255;62057
88;98635;84355;62057
89;98635;74366;62057
90;98635;79616;62057
91;98635;81529;62057
92;98635;78712;62057
93;98635;80055;62057
94;98635;86163;62057
95;98635;69867;62057
96;98635;94831;62057
97;98635;84237;62057
98;98635;91436;62057
99;98635;75781;62057
100;98635;84901;62057
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;67915;67915;67915
2;74497;74497;67915
3;80600;80600;67915
4;96415;96415;67915
5;96415;83413;67915
6;96415;78399;67915
7;96415;77716;67915
8;96415;59592;59592
9;96415;92354;59592
10;96415;78544;59592
11;96415;77723;59592
12;96415;79864;59592
13;96415;88418;59592
14;96415;79246;59592
15;96415;85898;59592
16;96415;69521;59592
17;96415;86232;59592
18;96415;92047;59592
19;96415;68180;59592
20;96415;93282;59592
21;96415;84171;59592
22;96415;78512;59592
23;96415;84564;59592
24;96415;83064;59592
25;96415;84427;59592
26;96415;73841;59592
27;96415;83548;59592
28;96415;74574;59592
29;96415;89312;59592
30;96415;83425;59592
31;96415;75885;59592
32;96415;74586;59592
33;96415;83949;59592
34;96415;84759;59592
35;96415;73871;59592
36;96415;77295;59592
37;96415;85756;59592
38;96415;75181;59592
39;96415;77572;59592
40;96415;78129;59592
41;96415;81725;59592
42;96415;85888;59592
43;96415;80926;59592
44;96415;93149;59592
45;96415;70655;59592
46;96415;75460;59592
47;96415;82187;59592
48;96415;61386;59592
49;96415;90086;59592
50;96415;86364;59592
51;96415;87765;59592
52;96415;68698;59592
53;96415;82889;59592
54;96415;81488;59592
55;96415;75721;59592
56;96415;81181;59592
57;96415;78217;59592
58;96415;81920;59592
59;96415;71127;59592
60;96415;88990;59592
61;96415;80938;59592
62;96920;96920;59592
63;96920;82699;59592
64;96920;74961;59592
